MARKETEVALUATIONPOINT_EAN;CONDUCTINGEQUIPMENT_NAME;MARKETPARTICIPANT_NAME;MARKETROLE_NAME;STREETADDRESS_POSTALCODE;STREETDETAIL_NAME;STREETDETAIL_NUMBER;TOWNDETAIL_NAME;TOWNDETAIL_SECTION;TOWNDETAIL_STATEORPROVINCE;COORDINATESYSTEM_NAME;POSITIONPOINT_YPOSITION;POSITIONPOINT_XPOSITION
871685920004531625;3026406-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1431DD;TWIJNDERLAAN;20 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,26991;4,75453
871687110003573001;5007289-EL-T01;SCHAIK;NVT;7323VR;BOOMBLAUWTJE;4 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,23726;5,99246
871685920003560916;3014230-EL-T01;AFDELING FINANCE ALLEGO;NVT;1181WR;GERARD DOULAAN;29 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30349;4,86368
871687110001920746;0110543-EL-T01;EVNETNL B.V;NVT;6581AJ;DE HOGE BRUG;1 ELP;HEUMEN;MALDEN;GELDERLAND;EPSG:4326;51,78861;5,84278
871687110001920746;0110543-EL-T01;EVNETNL B.V;NVT;6581AJ;DE HOGE BRUG;1 ELP;HEUMEN;MALDEN;GELDERLAND;EPSG:4326;51,78861;5,84278
871687110004216600;6003259-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;4102JM;AKELEI;23 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,95615;5,2436
871687110005005098;6003236-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;4103XZ;MEERLAAN;9 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;\\N;\\N
871685920003773729;3007280-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1181TT;MR G G V PRINSTERERLN;257 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,3034;4,86787
871687110003588470;9004589-EL-T01;EVNETNL B.V;NVT;3841AB;STRANDBOULEVARD OOST;6 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,35317;5,61946
871685920002926218;2003640-EL-T01;ALLEGO B.V.;NVT;2771PL;CALVILLE;103 ELP;ALPHEN AAN DEN RIJN;BOSKOOP;ZUID-HOLLAND;EPSG:4326;52,0711;4,65404
871685920004262901;3006607-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1187BT;RINGSLANG;33 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28935;4,82867
871687110004671690;5007219-EL-T01;EVNETNL B.V;NVT;6713TJ;SMARAGDSTRAAT;56 ELP;EDE;EDE;GELDERLAND;EPSG:4326;52,04039;5,66564
871685920004220215;3000335-EL-T02;PARKNCHARGE SPV6 B.V.;NVT;1181JP;BEVELANDSELAAN;14 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,3141;4,86729
871685920004220215;3021325-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1181JP;BEVELANDSELAAN;14 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,3141;4,86729
871687110005120104;7001810-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3842AR;VAN SCHENDELSTRAAT;32 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;\\N;\\N
871685920003773002;2001972-EL-T02;AFDELING FINANCE ALLEGO;NVT;2408GK;UTRECHTSTRAAT;120 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,1246;4,65414
871687110004283817;9021222-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3925SZ;VELDZICHT;6 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,07398;5,49624
871685920003983593;3017588-EL-T01;AFDELING FINANCE ALLEGO;NVT;1422MJ;WEDERIK;2 ELP;UITHOORN;UITHOORN;NOORD-HOLLAND;EPSG:4326;52,24797;4,81257
871687110003724816;5000690-EL-T02;SCHAIK;NVT;7331ND;1E WORMENSEWEG;363 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,19483;5,97434
871687110004149106;4005778-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;6921EJ;VUURDOORNPAD;14 ELP;DUIVEN;DUIVEN;GELDERLAND;EPSG:4326;51,94471;6,02386
871685920002747042;3000172-EL-T02;ALLEGO B.V.;NVT;1186LH;ARNO;33 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28589;4,86593
871685920004330280;3021172-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1182JV;LAAN NIEUWER-AMSTEL;48 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,3031;4,84433
871687110003449979;0104249-EL-T01;AFDELING FINANCE ALLEGO;NVT;7323TT;NORMASTRAAT;54 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,23122;5,98479
871687110004257078;4004088-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;7131EG;LUDGERHOF;1 ELP;OOST GELRE;LICHTENVOORDE;GELDERLAND;EPSG:4326;51,98539;6,57642
871685920004700908;3003750-EL-T01;PLUQ ASSETS B.V.;NVT;1191KA;RONDEHOEP OOST;3 ELP;OUDER-AMSTEL;OUDERKERK AAN DE AMSTEL;NOORD-HOLLAND;EPSG:4326;\\N;\\N
871685920003392227;3013666-EL-T01;ALLEGO B.V.;NVT;1432MH;VLINDERWEG;2 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,278;4,80241
871687110004173439;4004145-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;7132AR;STRAUSSSTRAAT;2 ELP;OOST GELRE;LICHTENVOORDE;GELDERLAND;EPSG:4326;51,98246;6,54983
871685920003700640;3010708-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;1186WX;BOEGSPRIET;14 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,27626;4,86293
871685920003601039;3027992-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1182CL;MOLENWEG;40 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30838;4,85019
871687110002544187;6007926-EL-T01;ALLEGO B.V.;NVT;6602HX;CAMPUSLAAN;11 ELP;WIJCHEN;WIJCHEN;GELDERLAND;EPSG:4326;51,803;5,73781
871687110004314085;1004310-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;8443CG;AMELANDLAAN;92 ELP;HEERENVEEN;HEERENVEEN;FRYSLÂN;EPSG:4326;52,94143;5,93993
871685920004527192;3003749-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1183NK;KLAASJE ZEVENSTERSTRAAT;103 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30327;4,87456
871687110004606418;7002407-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3925BS;GLASHORST;24 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,08038;5,48107
871687110003924339;5000540-EL-T02;SCHAIK;NVT;7322JZ;ABRIKOZENWEG;17 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,21437;5,98576
871687110004219212;9008841-EL-T01;LEAP 24 NEDERLAND B.V.;NVT;8912AD;AMPERESTRAAT;14 A ELP;LEEUWARDEN;LEEUWARDEN;FRYSLÂN;EPSG:4326;53,1951;5,77453
871685920004143767;3001142-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1187VX;LOUIS COUPERUSSINGEL;1 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,27464;4,82452
871685920004453323;3010690-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1431MJ;CHARLES GABRIJWEG;20 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,26832;4,75662
871687110004548565;7005111-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3841AD;KEIZERSTRAAT;20 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,3516;5,6216
871687110004548565;9024978-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3841AD;KEIZERSTRAAT;20 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,3516;5,6216
871687110001663308;\\N;EVNETNL B.V;NVT;7131CZ;RAPENBURGSESTRAAT;34 ELP;OOST GELRE;LICHTENVOORDE;GELDERLAND;EPSG:4326;51,9878;6,56497
871687110004490604;7009295-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3845GE;CHANSONDREEF;55 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,32696;5,60779
871687110005028387;9005803-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3925EC;VIERZINNEN;58 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;\\N;\\N
871685920004427034;0103847-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1184TZ;AMSTELZIJDE;85 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29757;4,89788
871687110001661861;4006084-EL-T02;EVNETNL B.V;NVT;6902PJ;DELWEG;14 ELP ELP;ZEVENAAR;ZEVENAAR;GELDERLAND;EPSG:4326;51,93504;6,08199
871685920004553238;3020612-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1433HJ;BILDERDAMMERWEG;114 ELP;AALSMEER;KUDELSTAART;NOORD-HOLLAND;EPSG:4326;\\N;\\N
871685920004450735;3014225-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1187PN;BETSY PERKLAAN;52 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28453;4,83018
871685920004461120;3014370-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1181LA;VAN HEUVEN GOEDHARTLAAN;735 A ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,31028;4,87109
871685920003597899;3008385-EL-T01;AFDELING FINANCE ALLEGO;NVT;1785DN;MARINA-PARK;461 ELP;DEN HELDER;DEN HELDER;NOORD-HOLLAND;EPSG:4326;52,94504;4,78041
871687110004024465;7002406-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;3925RP;VALERIAANLAAN;30 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,0765;5,49659
871687110004956179;7007592-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3845DN;BARBERSHOPDREEF;5 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,32687;5,60464
871685920004450742;9016705-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1181BW;AMSTERDAMSEWEG;466 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,31738;4,85738
871687110001782115;4003840-EL-T01;EVNETNL B.V;NVT;7081BN;STARINGSTRAAT;25 ELP;OUDE IJSSELSTREEK;GENDRINGEN;GELDERLAND;EPSG:4326;51,87777;6,37486
871687110004606630;9003860-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;4105RB;PARELMOERVLINDERWEG;18 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94507;5,19697
871685920003605662;2001103-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;2403HX;MORIELJE;7 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,14991;4,68542
871687110004545021;7001872-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3848BL;EENDEKAMP;116 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34459;5,6463
871687110001905873;1012981-EL-T02;EVNETNL B.V;NVT;9231CG;TORENPLEIN;7 ELP;ACHTKARSPELEN;SURHUISTERVEEN;FRYSLÂN;EPSG:4326;53,18094;6,16362
871687110004143654;7002247-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;3881SH;VOORTHUIZERSTRAAT;30 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,25704;5,6084
871687110004143654;7002372-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;3881SH;VOORTHUIZERSTRAAT;30 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,25704;5,6084
871685920003881493;3010708-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;1186ZL;STUWDAM;1 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,2764;4,86687
871687110001671648;4003433-EL-T01;EVNETNL B.V;NVT;7091CK;RAADHUISSTRAAT;2 ELP ELP;AALTEN;DINXPERLO;GELDERLAND;EPSG:4326;51,86106;6,48627
871689740030295584;9008932-EL-T01;ALLEGO B.V.;NVT;8913CL;WESTERSINGEL;42 ELP;LEEUWARDEN;LEEUWARDEN;FRYSLÂN;EPSG:4326;53,19923;5,78815
871687110005005104;0104422-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3845NC;PLOEGDREEF;10 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;\\N;\\N
871687110004224759;6003233-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;4102CK;CESAR FRANCKSTRAAT;1 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,95177;5,23911
871685920004207360;3021165-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1185ZZ;ZETTERIJ;8 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28757;4,83903
871685920004207360;3021165-EL-T02;PARKNCHARGE SPV6 B.V.;NVT;1185ZZ;ZETTERIJ;8 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28757;4,83903
871687110002367496;7011729-EL-T01;NV NUON SALES;NVT;1363VP;JUPITERSINGEL;1 ELP;ALMERE;ALMERE;FLEVOLAND;EPSG:4326;52,35355;5,15361
871687110004296183;7002331-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3882EE;VERBRUGGENSTRAAT;1 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,25492;5,59558
871687110004406643;\\N;PARKNCHARGE SPV6 B.V.;NVT;3845HW;BAKENBERGERHOUT;21 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,32329;5,6065
871687110003832245;5001078-EL-T01;SCHAIK;NVT;7331LM;RUYS DE BEERENBROUCKSTR;2 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,19714;5,97149
871687110004140899;7002373-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;3882HV;VALKSTRAAT;34 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,26078;5,5896
871685920004452265;3021176-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1186CJ;STROMBOLI;21 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29037;4,87154
871685920004018522;3017725-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1183NZ;TRAVIATASTRAAT;174 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30141;4,87516
871687110004539624;9003026-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3882KE;MUNTERSGOED;29 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,25724;5,58248
871687110001920739;6002197-EL-T01;EVNETNL B.V;NVT;6581TE;DE HORST;16 ELP;HEUMEN;MALDEN;GELDERLAND;EPSG:4326;51,77961;5,85597
871687110005106443;7001835-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3842BE;P.C. BOUTENSLAAN;193 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;\\N;\\N
871685920003888706;3021020-EL-T01;PARKNCHARGE SPV4 B.V.;NVT;1433JD;ALBRECHTSTRAAT;18 ELP;AALSMEER;KUDELSTAART;NOORD-HOLLAND;EPSG:4326;52,23191;4,74864
871687110004429925;6003063-EL-T01;SCHAIK;NVT;6543VV;PLANETENSTRAAT;17 ELP;NIJMEGEN;NIJMEGEN;GELDERLAND;EPSG:4326;51,8364;5,83115
871687110005019439;7011462-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3842LK;SIMON VESTDIJKSTRAAT;47 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;\\N;\\N
871687110004842885;9000369-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;4101GD;FLORALIAWEG;86 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,95513;5,23537
871687110004247420;6004142-EL-T01;SCHAIK;NVT;4191KW;BURG VON GEUSAUWEG;16 ELP;WEST BETUWE;GELDERMALSEN;GELDERLAND;EPSG:4326;51,88356;5,27555
871687110005025270;6003260-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;4102KC;PINKSTERBLOEM;57 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;\\N;\\N
871685920003601145;3017848-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;1183JX;CAMERA OBSCURALAAN;99 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30665;4,87896
871687110003870421;6004338-EL-T01;SCHAIK;NVT;4003BD;DE HENNEPE;369 ELP;TIEL;TIEL;GELDERLAND;EPSG:4326;51,89958;5,43016
871687110004842151;7011718-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3882KK;AALTSENGOED;15 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,25983;5,58421
871687110002245824;1002326-EL-T01;EVNETNL B.V;NVT;9261VM;SNAKKERBUORREN;3 ELP;TYTSJERKSTERADIEL;EASTERMAR;FRYSLÂN;EPSG:4326;53,17477;6,05706
871685920004043586;3000136-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;1431LV;SCHOORSTEEN;16 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,26655;4,75378
871685920002416771;3019544-EL-T01;NV NUON SALES;NVT;1541DG;KROKUSSTRAAT;19 ELP;ZAANSTAD;KOOG AAN DE ZAAN;NOORD-HOLLAND;EPSG:4326;52,459;4,80956
871687110004838512;7001862-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3844JD;HOORNMEEN;1 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,33673;5,60378
871687110003748126;6002217-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;6581WC;DOPHEIDE;1 ELP;HEUMEN;MALDEN;GELDERLAND;EPSG:4326;51,78019;5,8601
871687110004017153;4003883-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;7141PH;ZILVERSMID;31 ELP;OOST GELRE;GROENLO;GELDERLAND;EPSG:4326;52,03866;6,60104
871687110004165823;5002244-EL-T01;SCHAIK;NVT;6715EE;DUBBELHOF;32 ELP;EDE;EDE GLD;GELDERLAND;EPSG:4326;52,04546;5,63479
871687110004628175;9018939-EL-T01;OPCHARGE SPV III B.V.;NVT;4105SH;ANTOON VAN WIJNGAARDENWG;14 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94942;5,20019
871687110004628175;9018939-EL-T01;OPCHARGE SPV III B.V.;NVT;4105SH;ANTOON VAN WIJNGAARDENWG;14 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94942;5,20019
871687110004731431;7002397-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3925CC;STATIONSWEG;389 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,0811;5,4696
871687110004218659;9021222-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;3925SR;LUNTERSE BEEKWEG;11 ELP;SCHERPENZEEL;SCHERPENZEEL GLD;GELDERLAND;EPSG:4326;52,07437;5,4948
871687110001646714;4003687-EL-T01;EVNETNL B.V;NVT;7006NH;DE BONGERD;79 ELP;DOETINCHEM;DOETINCHEM;GELDERLAND;EPSG:4326;51,96017;6,25741
871685920003737806;3006584-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;1431CW;PRAAMPLEIN;69 ELP;AALSMEER;AALSMEER;NOORD-HOLLAND;EPSG:4326;52,26745;4,74683
871687110004948341;7001793-EL-T02;PARKNCHARGE SPV3 B.V.;NVT;3841JW;IR. LELYSTRAAT;16 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,35205;5,62871
871687110004948341;7001801-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3841JW;IR. LELYSTRAAT;16 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,35205;5,62871
871687110004948341;7001873-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3841JW;IR. LELYSTRAAT;16 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,35205;5,62871
871687110004599109;6003249-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;4105CK;JORISVICARIE;42 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94831;5,22152
871685920003706437;2001979-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;2408NB;VUURLAAN;4 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,12021;4,65107
871687110004626799;9007028-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;4105BG;H.P. VERMEULENSTRAAT;15 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94841;5,21839
871687110004626799;9007028-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;4105BG;H.P. VERMEULENSTRAAT;15 ELP;CULEMBORG;CULEMBORG;GELDERLAND;EPSG:4326;51,94841;5,21839
871687110004710634;7001918-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;3848AR;WALSTEIN;102 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34628;5,65322
871687110004834323;6004463-EL-T02;AFDELING FINANCE ALLEGO;NVT;6828BR;IR J P VAN MUIJLWIJKSTR;47 1 ELP;ARNHEM;ARNHEM;GELDERLAND;EPSG:4326;51,98449;5,91532
871687110004834323;6004463-EL-T01;AFDELING FINANCE ALLEGO;NVT;6828BR;IR J P VAN MUIJLWIJKSTR;47 1 ELP;ARNHEM;ARNHEM;GELDERLAND;EPSG:4326;51,98449;5,91532
871685920003721744;3017848-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;1183JM;D BLOEYENDEN WIJNGAERDT;3 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,30759;4,87929
871685920004056883;3017720-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;1185AV;MAARTEN LUTHERWEG;214 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,29253;4,8629
871685920003602937;2001976-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;2408JL;TANZANIASTRAAT;1 ELP;ALPHEN AAN DEN RIJN;ALPHEN AAN DEN RIJN;ZUID-HOLLAND;EPSG:4326;52,11949;4,64664
871685920003912555;3025903-EL-T01;SCHAIK;NVT;1181DK;JACOB DE GRAEFLAAN;51 ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,31811;4,86294
871685920003465846;2002965-EL-T01;AFDELING FINANCE ALLEGO;NVT;2311PK;RAAMSTEEG;1 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15473;4,48964
871685920003465846;2002969-EL-T01;AFDELING FINANCE ALLEGO;NVT;2311PK;RAAMSTEEG;1 ELP;LEIDEN;LEIDEN;ZUID-HOLLAND;EPSG:4326;52,15473;4,48964
871685920003009033;3011126-EL-T01;AFDELING FINANCE ALLEGO;NVT;1132BP;LEENDERT SPAANDERLAAN;45 ELP;EDAM-VOLENDAM;VOLENDAM;NOORD-HOLLAND;EPSG:4326;52,49563;5,05111
871685920003605082;2000096-EL-T01;PARKNCHARGE SPV2 B.V.;NVT;2353KD;MUZENLAAN;155 ELP;LEIDERDORP;LEIDERDORP;ZUID-HOLLAND;EPSG:4326;52,16711;4,53581
871687110004219182;4005792-EL-T01;PARKNCHARGE SPV5 B.V.;NVT;6921HH;WILGENLAAN;20 ELP;DUIVEN;DUIVEN;GELDERLAND;EPSG:4326;51,94728;6,0277
871687110004870628;7011399-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3882WP;DAVELAARSGOED;62 ELP;PUTTEN;PUTTEN;GELDERLAND;EPSG:4326;52,2605;5,57561
871685920003950793;3021045-EL-T01;AFDELING FINANCE ALLEGO;NVT;1422VA;BRUSSELFLAT;12 ELP;UITHOORN;UITHOORN;NOORD-HOLLAND;EPSG:4326;52,24907;4,82977
871685920004579191;3021174-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;1186KV;WOLGA;6 N ELP;AMSTELVEEN;AMSTELVEEN;NOORD-HOLLAND;EPSG:4326;52,28865;4,86633
871687110004539495;0111523-EL-T01;PARKNCHARGE SPV6 B.V.;NVT;7065CD;HET KROMKAMP;6 ELP;OUDE IJSSELSTREEK;SINDEREN;GELDERLAND;EPSG:4326;51,90331;6,46037
871687110004397750;4006077-EL-T01;AFDELING FINANCE ALLEGO;NVT;6901HH;OUDE DOESBURGSEWEG;93 ELP;ZEVENAAR;ZEVENAAR;GELDERLAND;EPSG:4326;51,93326;6,07586
871687110004162204;6005166-EL-T01;SCHAIK;NVT;6523KR;POSTWEG;41 ELP;NIJMEGEN;NIJMEGEN;GELDERLAND;EPSG:4326;51,83093;5,87796
871687110001750053;1003420-EL-T02;EVNETNL B.V;NVT;8441EL;K R POSTSTRAAT;3 ELP;HEERENVEEN;HEERENVEEN;FRYSLÂN;EPSG:4326;52,96211;5,92109
871687110004017252;4010980-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;7131LJ;NIEUWMARKT;133 ELP;OOST GELRE;LICHTENVOORDE;GELDERLAND;EPSG:4326;51,98544;6,56793
871687110003648556;5001184-EL-T01;AFDELING FINANCE ALLEGO;NVT;7311VB;MATHILDE WIBAUTSTRAAT;28 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,21431;5,95609
871687110003648556;5000531-EL-T01;AFDELING FINANCE ALLEGO;NVT;7311VB;MATHILDE WIBAUTSTRAAT;28 ELP;APELDOORN;APELDOORN;GELDERLAND;EPSG:4326;52,21431;5,95609
871687110004446816;\\N;PARKNCHARGE SPV6 B.V.;NVT;3845HC;TORENBERGERHOUT;18 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,32337;5,60443
871687110001663292;4003887-EL-T01;EVNETNL B.V;NVT;7141AN;ZIEKENHUISSTRAAT;12 ELP;OOST GELRE;GROENLO;GELDERLAND;EPSG:4326;52,04142;6,61307
871687110001663292;9019956-EL-T01;EVNETNL B.V;NVT;7141AN;ZIEKENHUISSTRAAT;12 ELP;OOST GELRE;GROENLO;GELDERLAND;EPSG:4326;52,04142;6,61307
871687110004827134;7011928-EL-T01;PARKNCHARGE SPV3 B.V.;NVT;3841GP;FRIESEGRACHT;65 ELP;HARDERWIJK;HARDERWIJK;GELDERLAND;EPSG:4326;52,34727;5,61831
